"Год выборов","Заголовок","Кандидат-депутат","Возраст","Год рождения","Профессия(основное)","Вторая профессия","Третья профессия","Пол","Населённый пункт","Должность","Партийный/беспартийный","Партия","Избирательный округ","Описание целиком"
"2000","Азарченков Александр Михайлович","Депутат","56","1944","инженер-механик","","","м","Витебск","член Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по аграрным вопросам","Партийный","Аграрная партия","Толочинский","АЗАРЧЕНКОВ Александр Михайлович, 1944 года рождения, инженер-механик, член Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по аграрным вопросам, г.Витебск, член Аграрной партии, Толочинский избирательный округ No31"
"2000","Александрович Владимир Александрович","Депутат","43","1957","учится","","","м","Минск","генеральный директор ИП «ИТЕРА-Бел»","Партийный","Белорусская социально-спортивная партия","Менделеевский","АЛЕКСАНДРОВИЧ Владимир Александрович, 1957 года рождения, учится в Белорусском негосударственном институте правоведения, генеральный директор ИП «ИТЕРА-Бел», г.Минск, член Белорусской социально-спортивной партии, Менделеевский избирательный округ No109"
"2000","Ананьев Роман Владиславович","Депутат","36","1964","техник-механик","","","м","Минск","президент ЗАО «Белнефтегаз»","Беспартийный","","Лепельский","АНАНЬЕВ Роман Владиславович, 1964 года рождения, техник-механик, президент ЗАО «Белнефтегаз», г.Минск, беспартийный, Лепельский избирательный округ No23"
"2000","Боровой Михаил Иванович","Депутат","44","1956","инженер","","","м","Минск","президент ЗАО «БелАвтогаз»","Беспартийный","","Дзержинский","БОРОВОЙ Михаил Иванович, 1956 года рождения, инженер, президент ЗАО «БелАвтогаз», г.Минск, беспартийный, Дзержинский избирательный округ No80"
"2000","Глуховский Леонид Викторович","Депутат","39","1961","юрист","","","м","Минск","заместитель Министра внутренних дел – начальник Следственного комитета при Министерстве внутренних дел","Беспартийный","","Гомельский-Промышленный","ГЛУХОВСКИЙ Леонид Викторович, 1961 года рождения, юрист, заместитель Министра внутренних дел – начальник Следственного комитета при Министерстве внутренних дел, г.Минск, беспартийный, Гомельский-Промышленный избирательный округ No37"
"2000","Делендик Владимир Викторович","Депутат","48","1952","бухгалтер-экономист","","","м","Минск","генеральный директор производственного унитарного частного предприятия «Дарида»","Беспартийный","","Минский сельский","ДЕЛЕНДИК Владимир Викторович, 1952 года рождения, бухгалтер-экономист, генеральный директор производственного унитарного частного предприятия «Дарида», г.Минск, беспартийный, Минский сельский избирательный округ No85"
"2000","Дервенков Владимир Иванович","Депутат","43","1957","инженер","менеджер-экономист","","м","Гомель","глава администрации Центрального района г.Гомеля","Беспартийный","","Гомельский-Центральный","ДЕРВЕНКОВ Владимир Иванович, 1957 года рождения, инженер, менеджер-экономист, глава администрации Центрального района г.Гомеля, г.Гомель, беспартийный, Гомельский- Центральный избирательный округ No35"
"2000","Дубовик Николай Николаевич","Депутат","45","1955","юрист","инженер-педагог","","м","Минск","заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по труду, социальным вопросам, охране здоровья, физической культуре и спорту","Беспартийный","","Столбцовский","ДУБОВИК Николай Николаевич, 1955 года рождения, юрист, инженер-педагог, заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по труду, социальным вопросам, охране здоровья, физической культуре и спорту, г.Минск, беспартийный, Столбцовский избирательный округ No92"
"2000","Дунич Николай Владимирович","Депутат","50","1950","менеджер-экономист","","","м","Трабы","председатель Ивьевского райисполкома","Беспартийный","","Ивьевский","ДУНИЧ Николай Владимирович, 1950 года рождения, экономист-менеджер, председатель Ивьевского райисполкома, Ивьевский район, д.Трабы, беспартийный, Ивьевский избирательный округ No55"
"2000","Захарченко Валерий Николаевич","Депутат","50","1950","инженер-строитель","","","м","Брест","заместитель председателя Брестского облисполкома","Партийный","КПБ","Мухавецкий","ЗАХАРЧЕНКО Валерий Николаевич, 1950 года рождения, инженер-строитель, заместитель председателя Брестского облисполкома, г.Брест, член КПБ, Мухавецкий избирательный округ No13"
